,0,1
0,mummy who,DADDY
1,HEY WHATS FOR DINNER COW,POO SIR IT IS THE FRENCH WAY
2,what do you call a camel with no bones in his back,a horse
3,what does a frog say?,ninininininini nininininininini
4,is this a joke about the fact that most people dislike obamacare,"if so, that's deep"
5,docter docter i hit my head,what do you want me to do stupid
6,"""what does the sock say","im a sock yeah?"""
7,a fisherman.,go away! i already have hundreds of fish.
8,why wolves howl?,because they have no idea what are they doing
9,which one born first hen or egg ?,hen is first
10,what do you call a person who is yellow?,a cheese statue
11,Bob Humbug who,naughty bob humbug
12,what was the name of the other leg ,SAND
13,Rat who?,Your new doctor
14,what is furry and lays eggs and also flys?,a hot air chicken egg
15,What's brown and sounds like a bell?,Dung!
16,whats brown all over?,a stick
17,what is the best part of bread……,bread
18,Just...,What?
19,do you no what ,get out of my house
20,WHAT DID THE MAN SAY TO THE CURTAIN WHEN IT KEPT CHATTING?,SHUT UP LOL
21,what do spys eat instead of mcdonalds?,spydonalds
22,KidsWriteJokes,takin
23,if mr brown lived in the brown house and mr purple lived in the purple house who lives in the white house ,the mayor
24,whats the vampires favorite food ,juice
25,What do you call a man who burns?,Pete.
26,KidsWriteJokes,takin
27,what did the house say to the chip,nothing
28,If the third player took over the second player what would the second one become ?,Third
29,why did the turkey go on the plane,to go to turkey
30,"A million zoologists slap their foreheads simultaneously at the realization, “Brown bears are just DIRTY!”",17 scientists commit suicide at having wasted their life’s work. 3 scientists studying black bears feel sweat forming on their upper lips. A secret pact is made.
31,"""What!? A Dog with no tail!?""","""No, a puppy"""
32,And then gets shots when he’s fast asleep. ,Thanks trump.
33,awnser,cos every winter he goesin a hole
34,and what did the hat say to the mitten?,"you stay down there, I'll go on ahead."
35,What did the flashlight say to the car?,Stop it i am changing
36,did you see a gremlin with one leg?,he could buy another one
37,"yeah, like being.",was joke
38,"i before e except after c, or when sounding like a as in neighbor or weigh.",Seems like fine writing to me!
39,what did the robot say to the sentepied,stop bieng a sentepied
40,what did the chiken do when he crossed the road.,pooed on the road
41,how can humans talk ? ,really loud
42,Yes it does ,"I don't think it crosses the border into ""unacceptable abuse"" though?"
43,what is biggest thing than god? ,Two gods
44,you know how to love the computer bigger than any one ?,we need to glue the chair with us and play it all the day
45,"mom: ""BE QUIET MARY!!!!!""","mary: ""ok thanks"""
46,. ,Because a T-Rex bit his leg off.
47,What do you get when you cross a t-rex and a chicken,nothing but death
48,why cats love eating fish,because they both smell bad
49,what did the mitten say to the hat?,You go up there and i stay down here
50,What a dog with no tail,A puppy
51,what a dog with no tail,a puppy
52,when did my parents let me cross the road ,(when i was 20 years old)!!!
53,That's probably the joke they were misremembering.,"Kids will try to repeat things they've seen get a reaction, but because they don't understand what's funny about it they'll sometimes get the crucial details wrong."
54,what’s Greece ’s most famus movie?,troy movie
55,Question-why crow is black?,Answer-because it has been deep fried
56,I mean,They're not wrong
57,what you will do if you lazy and someone tell you to go to the market?,i will ​visit the online market
58,why is a banna yelow ,becase it dousent eat
